project title,short title,project id,program,language,url,abstract,project_website,doi,status,signature_date,start_date,end_date,funded_under,total_cost,eu_contribution,coordinated_by,objective,keywords,programme,topic,coordinator,coordinator_eu_contribution,coordinator_adress,coordinator_website,number_participants,participants
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,"[{'participant_no': 1, 'participant_name': 'AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS   Spain', 'participant_address': 'CALLE SERRANO 117 28006 Madrid    ', 'participant_eu_contribution': '€ 180 397,50', 'participant_total_cost': '€ 180 397,50', 'participant_website': 'http://www.csic.es'}, {'participant_no': 2, 'participant_name': 'ECOLOGISTAS EN ACCION   Spain', 'participant_address': 'C MARQUES DE LEGANES 12 BAJO 28004 Madrid    ', 'participant_eu_contribution': '€ 240 693,75', 'participant_total_cost': '€ 240 693,75', 'participant_website': None}, {'participant_no': 3, 'participant_name': 'LEGAMBIENTE NAZIONALE APS RETE ASSOCIATIVA ETS   Italy', 'participant_address': 'VIA SALARIA 403 00199 Roma    ', 'participant_eu_contribution': '€ 238 468,75', 'participant_total_cost': '€ 266 963,75', 'participant_website': None}, {'participant_no': 4, 'participant_name': 'LEGAMBIENTE LOMBARDIA ONLUS   Italy', 'participant_address': 'VIA ADELAIDE BONO CAIROLI 22 20127 Milano    ', 'participant_eu_contribution': '€ 11 080,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 5, 'participant_name': 'LEGAMBIENTE VOLONTARIATO VENETO   Italy', 'participant_address': 'CORSO DEL POPOLO 276 45100 Rovigo    ', 'participant_eu_contribution': '€ 5 650,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 6, 'participant_name': ""LEGAMBIENTE PIEMONTE E VALLE D'AOSTA APS   Italy"", 'participant_address': 'VIA MARIA AUSILIATRICE 45 10152 Torino    ', 'participant_eu_contribution': '€ 5 820,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 7, 'participant_name': 'LEGAMBIENTE EMILIA-ROMAGNA APS   Italy', 'participant_address': 'VIA MASIMO GORKI 6 40128 Bologna    ', 'participant_eu_contribution': '€ 5 945,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 8, 'participant_name': 'ZENTRUM FUR SOZIALE INNOVATION GMBH   Austria', 'participant_address': 'LINKE WIENZEILE 246 1150 Wien    ', 'participant_eu_contribution': '€ 400 750,00', 'participant_total_cost': '€ 400 750,00', 'participant_website': 'http://www.zsi.at'}, {'participant_no': 9, 'participant_name': 'GLOBAL 2000 UMWELTSCHUTZORGANISATION   Austria', 'participant_address': 'NEUSTIFTGASSE 36 1070 Wien    ', 'participant_eu_contribution': '€ 310 748,00', 'participant_total_cost': '€ 310 748,00', 'participant_website': None}, {'participant_no': 10, 'participant_name': 'FUNDACIO PRIVADA PER A LA XARXA OBERTA, LLIURE I NEUTRAL, GUIFI.NET   Spain', 'participant_address': ""MASIA L'ESPERANCA 08503 GURB (BARCELONA)    "", 'participant_eu_contribution': '€ 73 625,00', 'participant_total_cost': '€ 73 625,00', 'participant_website': None}, {'participant_no': 11, 'participant_name': 'UNIVERSITE CLERMONT AUVERGNE   France', 'participant_address': '49 BD FRANCOIS MITTERRAND 63000 Clermont Ferrand    ', 'participant_eu_contribution': '€ 209 742,00', 'participant_total_cost': '€ 209 742,00', 'participant_website': None}]"
Citizens' observatory for coast and ocean optical monitoring,CITCLOPS,308469.0,FP7,es,https://cordis.europa.eu/project/id/308469,"In the marine environment, anthropogenic pressures on resources and non-anthropogenic causes may create harmful conditions that affect human society. Harmful algal blooms and habitat destruction are examples, which pose serious human-health threats and severely affect numerou...",,,Project closed,,1 October 2012,30 September 2015,"Specific Programme ""Cooperation"": Environment (including Climate Change)","4743458,33","3839758,00",FUNDACIO EURECAT           Spain,"In the marine environment, anthropogenic pressures on resources and non-anthropogenic causes may create harmful conditions that affect human society. Harmful algal blooms and habitat destruction are examples, which pose serious human-health threats and severely affect numerous industries, causing annual economic losses in the tens of millions of euros, in the form of reduced sales, diminished tourist activity and unemployment. A widely adopted, scientific way to assess the environmental status of water bodies is by measuring their optical properties (as indicators of, e.g. sewage impact, dissolved organic matter, sediment load or gross biological activity). The Citclops project aims to develop systems to retrieve and use data on seawater colour, transparency and fluorescence, using low-cost sensors combined with contextual information (e.g. georeferencing) and a community-based Internet platform, taking into account existing experiences (e.g. Secchi Dip-In, Coastwatch Europe and Oil Reporter). Simple and fast methods to establish the optical properties of seawater will be developed and used: e.g. the colour through Forel-Ule observations, and transparency through a variant of the Secchi disc. People will be able to acquire data taking photographs of the sea surface on ferries or other vessels, at the open sea or from the beach. Wearable digital cameras for aquatic activities with extended sensing systems are also proposed as alternative resources for crowdsourcing data. Data are automatically uploaded through a specific service or application (such as Google+ Instant Upload), archived remotely and processed, and resulting information is accessed through a webpage or a mobile application by end users. These are: policy makers (e.g. local administrations), which will be able to use the information to improve the management of the coastal zone; and citizens, who will be able to maximize their experience in activities in which water quality has a role.","Programme(s)  FP7-ENVIRONMENT - Specific Programme ""Cooperation"": Environment (including Climate Change)","FP7-ENVIRONMENT - Specific Programme ""Cooperation"": Environment (including Climate Change)",ENV.2012.6.5-1 - Developing community-based environmental monitoring and information systems using innovative and novel earth observation applications,FUNDACIO EURECAT,"468800,00",AVENIDA UNIVERSITAT AUTONOMA 23 08290 Cerdanyola Del Valles (Barcelona) Spain    ,http://www.eurecat.org/,11,"[{'participant_no': 1, 'participant_name': 'FUNDACIO PRIVADA BARCELONA DIGITAL CENTRE TECNOLOGIC   Participation ended   Spain', 'participant_address': 'CARRER ROC BORONAT 117, 5 PLANTA 08018 Barcelona    ', 'participant_eu_contribution': 'No data', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 2, 'participant_name': 'AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS   Spain', 'participant_address': 'CALLE SERRANO 117 28006 Madrid    ', 'participant_eu_contribution': '€ 543 561,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.csic.es'}, {'participant_no': 3, 'participant_name': 'CARL VON OSSIETZKY UNIVERSITAET OLDENBURG   Germany', 'participant_address': 'AMMERLAENDER HEERSTRASSE114-118 26129 Oldenburg    ', 'participant_eu_contribution': '€ 464 280,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.uni-oldenburg.de/home/'}, {'participant_no': 4, 'participant_name': 'STICHTING KONINKLIJK NEDERLANDS INSTITUUT VOOR ZEEONDERZOEK (NIOZ)   Netherlands', 'participant_address': 'Landsdiep 4 1797 SZ DEN HOORN TEXEL    ', 'participant_eu_contribution': '€ 536 400,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 5, 'participant_name': 'KINETICAL BUSINESS SL   Spain', 'participant_address': 'MARIE CURIE - PARC TECNOLOGIC BARCELONA NORD 08042 BARCELONA    ', 'participant_eu_contribution': '€ 194 850,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 6, 'participant_name': 'TRIOS MESS- UND DATENTECHNIK GMBH   Germany', 'participant_address': 'BUERGERMEISTER BROETJE STRASSE 25 26180 Rastede    ', 'participant_eu_contribution': '€ 266 600,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.trios.de'}, {'participant_no': 7, 'participant_name': 'MARIENE INFORMATIE SERVICE MARIS BV   Netherlands', 'participant_address': 'GILDEWEG 7A 2632 BD Nootdorp    ', 'participant_eu_contribution': '€ 380 650,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 8, 'participant_name': 'NOVELTIS SAS   France', 'participant_address': 'RUE DU LAC 153 31670 LABEGE    ', 'participant_eu_contribution': '€ 298 987,00', 'participant_total_cost': 'No data', 'participant_website': 'https://www.noveltis.fr'}, {'participant_no': 9, 'participant_name': 'THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD, OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN   Ireland', 'participant_address': 'COLLEGE GREEN TRINITY COLLEGE D02 CX56 Dublin    ', 'participant_eu_contribution': '€ 116 400,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.tcd.ie'}, {'participant_no': 10, 'participant_name': 'STICHTING VU   Netherlands', 'participant_address': 'DE BOELELAAN 1105 1081 HV Amsterdam    ', 'participant_eu_contribution': '€ 396 980,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 11, 'participant_name': 'STICHTING DELTARES   Netherlands', 'participant_address': 'BOUSSINESQWEG 1 2629 HV Delft    ', 'participant_eu_contribution': '€ 172 250,00', 'participant_total_cost': 'No data', 'participant_website': None}]"
Development of sensor-based Citizens' Observatory Community for improving quality of life in cities,CITI-SENSE,308524.0,FP7,en,https://cordis.europa.eu/project/id/308524,"CITI-SENSE will develop ""citizens' observatories"" to empower citizens to contribute to and participate in environmental governance, to enable them to support and influence community and societal priorities and associated decision making. CITI-SENSE will develop, test, demonst...",http://www.citi-sense.eu/,,Project closed,,1 October 2012,30 September 2016,"Specific Programme ""Cooperation"": Environment (including Climate Change)","12341563,29","8968282,00",STIFTELSEN NILU           Norway,"CITI-SENSE will develop “citizens’ observatories” to empower citizens to contribute to and participate in environmental governance, to enable them to support and influence community and societal priorities and associated decision making. CITI-SENSE will develop, test, demonstrate and validate a community-based environmental monitoring and information system using innovative and novel Earth Observation applications.To achieve this, the project will: (i) raise environmental awareness in citizens, (ii) raise user participation in societal environmental decisions and (iii) provide feedback on the impact that citizens had in decisions. It will address the call’s request for effective participation by citizens in environmental stewardship, based on broad stakeholder and user involvement in support of both community and policy priorities. The project aims to learn from citizen experience and perception and enable citizenship co-participation in community decision making and co-operative planning.The concept of CITI-SENSE rests on three pillars: technological platforms for distributed monitoring; information and communication technologies; and societal involvement. Three pilot case studies will focus on a range of services related to environmental issues of societal concern: combined environmental exposure and health associated with air quality; noise and development of public spaces, and indoor air at schools. Attention will be given to representativeness of citizen participation. The case studies will be designed in collaboration with citizens’ groups and decision makers. They will be based on distributed data collection using innovative static, portable and personal devices (low-cost reliable microsensor packs) that communicate with a data repositories through mobile phones or other devices. Development of participatory methods, data management strategies, and applications to facilitate exploitation of the data and information for policy, and society, will be done.","Programme(s)  FP7-ENVIRONMENT - Specific Programme ""Cooperation"": Environment (including Climate Change)","FP7-ENVIRONMENT - Specific Programme ""Cooperation"": Environment (including Climate Change)",ENV.2012.6.5-1 - Developing community-based environmental monitoring and information systems using innovative and novel earth observation applications,STIFTELSEN NILU,"1882519,26",INSTITUTTVEIEN 18 2027 Kjeller Norway    ,http://www.nilu.no,30,"[{'participant_no': 1, 'participant_name': 'FUNDACIO CENTRE DE RECERCA EN EPIDEMIOLOGIA AMBIENTAL - CREAL   Participation ended   Spain', 'participant_address': 'Calle Doctor Aiguader 88 08003 BARCELONA    ', 'participant_eu_contribution': '€ 457 560,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 2, 'participant_name': 'PETER VAN DEN HAZEL   Netherlands', 'participant_address': 'KASTANJELAAN 5 6955 AM ELLECOM    ', 'participant_eu_contribution': '€ 110 833,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 3, 'participant_name': 'NORGES ASTMA-OG ALLERGIFORBUND ASSOCIATION   Norway', 'participant_address': 'St. Olavs gate 25 0166 Oslo    ', 'participant_eu_contribution': '€ 186 750,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 4, 'participant_name': 'TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY   Israel', 'participant_address': 'SENATE BUILDING TECHNION CITY 32000 Haifa    ', 'participant_eu_contribution': '€ 293 850,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 5, 'participant_name': 'CESKE VYSOKE UCENI TECHNICKE V PRAZE   Czechia', 'participant_address': 'JUGOSLAVSKYCH PARTYZANU 1580/3 160 00 Praha    ', 'participant_eu_contribution': '€ 192 568,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.cvut.cz'}, {'participant_no': 6, 'participant_name': 'QUEENSLAND UNIVERSITY OF TECHNOLOGY - QLD QUT   Australia', 'participant_address': 'GEORGE STREET 2 4001 Brisbane    ', 'participant_eu_contribution': '€ 79 380,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 7, 'participant_name': 'AIRBASE SYSTEMS LTD   Israel', 'participant_address': 'GRANOT FACTORIES 38100 EMEG HEFER    ', 'participant_eu_contribution': '€ 91 376,60', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 8, 'participant_name': 'NTRAM GENERAL S.A.   Spain', 'participant_address': 'CALLE VICTOR PRADERA 45 08940 Cornella De Llobregat Barcelona    ', 'participant_eu_contribution': '€ 320 796,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.ateknea.com'}, {'participant_no': 9, 'participant_name': 'GAC SPOL SRO   Participation ended   Czechia', 'participant_address': 'NA BASTE SV JIRI 259 / 9 160 00 PRAHA    ', 'participant_eu_contribution': '€ 62 159,39', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 10, 'participant_name': 'INSTITUTE OF OCCUPATIONAL MEDICINE   United Kingdom', 'participant_address': 'RESEARCH PARK NORTH RICCARTON EH14 4AP EDINBURGH    ', 'participant_eu_contribution': '€ 429 842,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.iom-world.org'}, {'participant_no': 11, 'participant_name': 'IRITZIAK BATUZ KOOP ELK TXIKIA   Spain', 'participant_address': 'CALLE IBAIGANE 8 1 IZQ AREETA 48930 GETXO    ', 'participant_eu_contribution': '€ 116 646,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 12, 'participant_name': 'SENSING & CONTROL SYSTEMS SL   Spain', 'participant_address': 'CALLE CREUETA NUMERO 28 PLANTA BAJA 08700 IGUALADA    ', 'participant_eu_contribution': '€ 407 200,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.sensingcontrol.com'}, {'participant_no': 13, 'participant_name': 'Alphasense Limited   United Kingdom', 'participant_address': '300 Avenue West Skyline 120 CM77 7AA Great Notley    ', 'participant_eu_contribution': '€ 394 362,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 14, 'participant_name': 'UBIMET GMBH   Austria', 'participant_address': 'DONAU CITY STRASSE 11 1220 Wien    ', 'participant_eu_contribution': '€ 136 800,00', 'participant_total_cost': 'No data', 'participant_website': 'https://www.ubimet.com'}, {'participant_no': 15, 'participant_name': 'U-HOPPER SRL   Italy', 'participant_address': 'VIA MERANO 8 38027 MALE    ', 'participant_eu_contribution': '€ 256 600,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www-u-hopper.com'}, {'participant_no': 16, 'participant_name': 'FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA   Spain', 'participant_address': 'C ROSSELLO 132 PLANTA 05 08036 Barcelona    ', 'participant_eu_contribution': 'No data', 'participant_total_cost': 'No data', 'participant_website': 'http://www.isglobal.org'}, {'participant_no': 17, 'participant_name': 'USTAV EXPERIMENTALNI MEDICINY AKADEMIE VED CESKE REPUBLIKY VEREJNA VYZKUMNA INSTITUCE   Czechia', 'participant_address': 'VIDENSKA1083 14220 Praha 4    ', 'participant_eu_contribution': '€ 314 000,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 18, 'participant_name': 'INSTITUT ZA NUKLEARNE NAUKE VINCA INSTITUT OD NACIONALNOG ZNACAJA ZA REPUBLIKU SRBIJU, UNIVERZITET U BEGRADU   Serbia', 'participant_address': 'MIKE PETROVICA ALASA 12-14 11351 VINCA BEOGRAD    ', 'participant_eu_contribution': '€ 148 000,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 19, 'participant_name': 'INSTITUT JOZEF STEFAN   Slovenia', 'participant_address': 'Jamova 39 1000 Ljubljana    ', 'participant_eu_contribution': '€ 301 710,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.ijs.si/'}, {'participant_no': 20, 'participant_name': 'STIFTELSEN SINTEF   Norway', 'participant_address': 'STRINDVEIEN 4 7034 Trondheim    ', 'participant_eu_contribution': '€ 938 181,75', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 21, 'participant_name': 'FUNDACION TECNALIA RESEARCH & INNOVATION   Spain', 'participant_address': 'PARQUE CIENTIFICO Y TECNOLOGICO DE BIZKAIA, ASTONDO BIDEA, EDIFICIO 700 48160 DERIOBIZKAIA    ', 'participant_eu_contribution': '€ 311 260,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.tecnalia.com'}, {'participant_no': 22, 'participant_name': 'KOREA INSTITUTE OF CIVIL ENGINEERING AND BUILDING TECHNOLOGY   South Korea', 'participant_address': 'GOYANG DAERO 283 ILSANEO GU GYEONGG  GOYANG    ', 'participant_eu_contribution': 'No data', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 23, 'participant_name': 'THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE   United Kingdom', 'participant_address': 'TRINITY LANE THE OLD SCHOOLS CB2 1TN Cambridge    ', 'participant_eu_contribution': '€ 249 300,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.cam.ac.uk'}, {'participant_no': 24, 'participant_name': 'DRUSTVO ZA KONSALTING, RAZVOJ I IMPLEMENTACIJU INFORMACIONIH I KOMUNIKACIONIH TEHNOLOGIJA DUNAVNET DOO NOVI SAD   Serbia', 'participant_address': 'BULEVAR OSLOBODENJA 127 13 21000 Novi Sad    ', 'participant_eu_contribution': '€ 175 622,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 25, 'participant_name': 'SNOWFLAKE SOFTWARE LIMITED   United Kingdom', 'participant_address': 'ALLEYN HOUSE 23 27 CERTON SO152EU SOUTHAMPTON    ', 'participant_eu_contribution': '€ 352 320,00', 'participant_total_cost': 'No data', 'participant_website': 'http://www.snowflakesoftware.com/'}, {'participant_no': 26, 'participant_name': 'GEOTECHNICAL INSTRUMENTS UK LTD   United Kingdom', 'participant_address': 'QUEENSWAY SOVEREIGN HOUSE CV31 3JR LEAMINGTON SPA    ', 'participant_eu_contribution': '€ 305 026,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 27, 'participant_name': 'OBEO AS   Norway', 'participant_address': 'CORT ADELERS GATE 16 0254 OSLO    ', 'participant_eu_contribution': '€ 130 384,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 28, 'participant_name': 'VLAAMSE GEWEST   Belgium', 'participant_address': 'AVENUE DU PORT 88 1000 Bruxelles / Brussel    ', 'participant_eu_contribution': '€ 323 236,00', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 29, 'participant_name': 'SALTLUX INCORPORATED   South Korea', 'participant_address': '6F DEOK-IL BUILDING, 967 DAECHI-DONG, GANGNAM-GU 135-848 SEOUL    ', 'participant_eu_contribution': 'No data', 'participant_total_cost': 'No data', 'participant_website': None}, {'participant_no': 30, 'participant_name': 'ENVIRONMENTAL INSTRUMENTS LIMITED   United Kingdom', 'participant_address': ""UNIT 5, THE MANSLEY CENTRE, TIMOTHY'S BRIDGE ROAD CV37 9NQ STRATFORD-UPON-AVON    "", 'participant_eu_contribution': 'No data', 'participant_total_cost': 'No data', 'participant_website': None}]"
Citizen Science for Urban Environment and Health,CitieS-Health,824484.0,H2020,en,https://cordis.europa.eu/project/id/824484,"Scientific evidence about the negative health effects of urban environmental exposures is mounting. Yet key scientific gaps exist. Surveys show that citizens are increasingly concerned about the consequences of these exposures on their own health, and are engaged in data...",,,Project closed,20 November 2018,1 January 2019,30 June 2022,"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various fields of activity from social innovation to areas such as biotechnology and nanotechnology","2000500,00","2000500,00",FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA           Spain,"Scientific evidence about the negative health effects of urban environmental exposures is mounting. Yet key scientific gaps exist. Surveys show that citizens are increasingly concerned about the consequences of these exposures on their own health, and are engaged in data collection and activism efforts around problems such as urban mobility and air and noise pollution. These concerns, along with the availability of affordable crowd-sensing and data processing technologies that allow citizens to measure environmental and health parameters, make environmental epidemiology studies an ideal, yet underexplored opportunity to develop citizen science projects. Enabling collaboration between researchers and citizens to generate solid, unbiased scientific evidence of local relevance can reduce existing information gaps. It can empower people to contribute to novel and bottom-up research agendas, interventions and co-creation of public policies.The aim of the Citizen Science Project on Urban Environment and Health (CitieS-Health) is to develop an effective citizen science model at the maximum collaboration level. The project will develop citizen science projects in five diverse European cities (Barcelona, Kaunas, Ljubljana, Amsterdam, Lucca), assessing urban air and noise pollution, wood burning, urban design and mobility at local levels. An innovative aspect of CitieS-Health is studying the link between these exposures and health impacts. Citizens will participate in defining research questions, designing and implementing studies, and analysing, interpreting and communicating results. The projects will inform the first open toolkit for the development and promotion of citizen science projects in urban environment and health. The project will also co-design a set of governance principles and procedures to allow participants control over project data and outcomes, and will contribute indicators to assess the project's impacts on different sectors.","Fields of science (EuroSciVoc)  CORDIS classifies projects with EuroSciVoc, a multilingual taxonomy of fields of science, through a semi-automatic process based on NLP techniques. See:https://op.europa.eu/en/web/eu-vocabularies/euroscivoc.   social sciencespolitical sciencespolitical policiespublic policiessocial sciencessociologygovernancenatural sciencesearth and related environmental sciencesenvironmental sciencespollutionsocial sciencespolitical sciencespolitical policiescivil societynatural sciencescomputer and information sciencesdata sciencedata processing  Suggest new fields of science   You need to log in or register to use this function     Please select Fields of Science that are most relevant for this Project     Clear input    Confirm selection     Back  Send suggestions   We are sorry... an unexpected error occurred during execution.  You need to be authenticated. Your session might have expired.  Thank you for your feedback.You will soon receive an email to confirm the submission. If you have selected to be notified about the reporting status, you will also be contacted when the reporting status will change.","H2020-EU.5.c. - Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various fields of activity from social innovation to areas such as biotechnology and nanotechnology                     Main Programme",SwafS-15-2018-2019 - Exploring and supporting citizen science,FUNDACION PRIVADA INSTITUTO DE SALUD GLOBAL BARCELONA,"389625,00",C ROSSELLO 132 PLANTA 05 08036 Barcelona Spain    ,http://www.isglobal.org,5,"[{'participant_no': 1, 'participant_name': 'IDEAS 3493 SL   Spain', 'participant_address': 'RONDA UNIVERSITAT 33 1 1B 08007 Barcelona    ', 'participant_eu_contribution': '€ 320 000,00', 'participant_total_cost': '€ 320 000,00', 'participant_website': None}, {'participant_no': 2, 'participant_name': 'SOCIETA PER L EPIDEMIOLOGIA E LAPREVENZIONE GIULLIO A MACCACARO IMPRESA SOCIALE SRL   Italy', 'participant_address': 'VIA FRANCESCO NULLO 19 20129 MILANO    ', 'participant_eu_contribution': '€ 325 000,00', 'participant_total_cost': '€ 325 000,00', 'participant_website': None}, {'participant_no': 3, 'participant_name': 'INSTITUT JOZEF STEFAN   Slovenia', 'participant_address': 'Jamova 39 1000 Ljubljana    ', 'participant_eu_contribution': '€ 314 625,00', 'participant_total_cost': '€ 314 625,00', 'participant_website': 'http://www.ijs.si/'}, {'participant_no': 4, 'participant_name': 'UNIVERSITEIT UTRECHT   Netherlands', 'participant_address': 'HEIDELBERGLAAN 8 3584 CS Utrecht    ', 'participant_eu_contribution': '€ 329 625,00', 'participant_total_cost': '€ 329 625,00', 'participant_website': None}, {'participant_no': 5, 'participant_name': 'VYTAUTO DIDZIOJO UNIVERSITETAS   Lithuania', 'participant_address': 'K DONELAICIO G 58 LT-44248 KAUNAS    ', 'participant_eu_contribution': '€ 321 625,00', 'participant_total_cost': '€ 321 625,00', 'participant_website': None}]"
